subject,pyhearts_r_count,ecgpuwave_r_count,detection_ratio,num_issues,is_likely_inverted,mean_r_peak_amplitude,max_signal,min_signal,mean_amplitude,std_amplitude,peak_to_peak,snr_estimate,baseline_drift_std,noise_level,saturation_pct,flat_segments_pct,r_peak_amplitude_mean,r_peak_amplitude_std,r_peak_amplitude_cv,artifact_pct_near_rpeaks
sel302,150,1059,0.141643059490085,5,False,1.6295000000000002,6.935,-2.16,-0.08579995555555556,0.4425071493006867,9.094999999999999,0.193895071957931,0.023564878886936265,0.07228307947480223,0.0008888888888888888,6.646251761118939,1.5355288007554297,0.29177326346411436,0.1900148426526233,100.0
sele0112,134,446,0.3004484304932735,3,False,3.2405,4.86,2.8,3.648666377777778,0.2007528580302755,2.0600000000000005,18.17491623071948,0.046161648230390144,0.012365795596178156,0.1448888888888889,25.737447721989877,3.9314349775784754,0.3164878082448049,0.08050185493332059,0.0
sel104,117,739,0.15832205683355885,4,False,4.789,6.91,4.035,4.898538755555554,0.22998704091077787,2.875,21.29919466834618,0.05493552247891356,0.032820243298066334,0.041777777777777775,12.508055591358183,5.000372124492557,0.8566863677569689,0.17132452274117627,4.0
sele0114,685,438,1.5639269406392695,4,False,8.2525,9.435,7.62,9.0366246,0.12892545437558528,1.8150000000000004,70.09185768447657,0.03560926887260901,0.0113863272215383,91.04577777777779,32.05792025742337,8.25722602739726,0.10160250939903952,0.012304678237210057,4.0
sel100,1133,763,1.4849279161205766,0,False,5.787000000000001,6.53,4.44,4.8187722444444425,0.19179856115398844,2.09,25.12413135662481,0.047014443904099874,0.02040591402334409,0.1617777777777778,13.069835865937183,5.8451769331585846,0.15001900759440956,0.02566543482086574,41.0
