Type,Name,Bound (ms),Mean Error (ms),Within Bound (%),N,Outliers Removed
Fiducial,P_peak,20.0,19.200922608496064,56.043956043956044,91,0.0
Fiducial,R_peak,20.0,14.2316858500787,73.0,100,4.0
Fiducial,T_peak,20.0,18.530967820955652,59.4059405940594,101,0.0
Fiducial,T_onset,20.0,28.54396066225295,15.463917525773196,97,0.0
Fiducial,T_offset,20.0,28.170333629638566,15.53398058252427,103,0.0
Interval,RT,50.0,25.66380682640425,69.96960989022348,48371,
Interval,TT,100.0,59.66378954234156,71.9534732036091,45995,
