Type,Name,Bound (ms),Mean Error (ms),Within Bound (%),N,Outliers Removed
Fiducial,p_onset,20.0,242.68958742632614,4.911591355599214,2036,115
Fiducial,p_peak,20.0,54.00091785222579,47.86599357503442,2179,185
Fiducial,r_peak,20.0,10.610808546292418,90.57394218684541,2387,178
Fiducial,t_peak,20.0,38.546409807355516,56.30472854640981,2284,238
Fiducial,t_end,20.0,51.152877697841724,22.97661870503597,2224,213
Interval,PR,40.0,196.33481043820777,16.198916789758737,2031,120
Interval,QT,50.0,45.391225689733155,59.158751696065124,2211,226
