peak,outlier_method,n,mean_error_ms,median_error_ms,std_error_ms,within_20ms_pct,within_50ms_pct,outliers_removed,outliers_removed_pct
P,all,3796,30.464699683877765,20.0,29.129684732281568,51.31717597471022,73.1559536354057,0,0.0
P,threshold_200.0ms,3796,30.464699683877765,20.0,29.129684732281568,51.31717597471022,73.1559536354057,0,0.0
P,threshold_150.0ms,3796,30.464699683877765,20.0,29.129684732281568,51.31717597471022,73.1559536354057,0,0.0
P,threshold_100.0ms,3796,30.464699683877765,20.0,29.129684732281568,51.31717597471022,73.1559536354057,0,0.0
T,all,4524,26.90450928381963,16.0,30.043391652162207,58.687002652519894,82.51547303271441,0,0.0
T,threshold_200.0ms,4524,26.90450928381963,16.0,30.043391652162207,58.687002652519894,82.51547303271441,0,0.0
T,threshold_150.0ms,4524,26.90450928381963,16.0,30.043391652162207,58.687002652519894,82.51547303271441,0,0.0
T,threshold_100.0ms,4524,26.90450928381963,16.0,30.043391652162207,58.687002652519894,82.51547303271441,0,0.0
